creator_id,year,n_posts,frac_promotional,mean_p_promotional
0003c5b820,2023,6,0.6666666666666666,0.6495638994042768
0013f33713,2024,5,0.8,0.7021591448316755
001b777bd6,2023,1,0.0,0.24043075058948313
0037b7274e,2023,1,0.0,0.3698556270389837
0037b7274e,2024,2,0.0,0.3401351299605859
00409daea1,2024,1,0.0,0.20914461702259485
0041834f08,2024,1,0.0,0.23915923954361593
004882ef7a,2025,1,1.0,0.6914085137957514
0072a1a9ab,2024,3,0.6666666666666666,0.5713835850807581
007d85dddd,2024,1,1.0,0.7953239944244019
008429e8d3,2024,1,0.0,0.13504745279798436
00a23a87ed,2023,5,0.0,0.1289997891660652
00ab7e7cda,2023,1,0.0,0.12560957773217238
00ab7e7cda,2024,1,0.0,0.16235982205949737
00c0236d4f,2024,21,0.0,0.16480920316135905
00d2166082,2024,1,0.0,0.12105693564154311
00db4a6237,2024,3,0.0,0.10639494152793323
00df535cee,2024,1,0.0,0.10961944708505954
00e0c44ee7,2024,2,0.5,0.6448644853015724
01172ff0b9,2024,1,1.0,0.8422023323472173
013442206a,2024,2,0.5,0.4772259544156824
0145c8c638,2023,3,0.0,0.19611575728780647
0145c8c638,2024,1,0.0,0.09224358686909181
0161346368,2023,17,0.058823529411764705,0.22452472999375006
0161346368,2024,4,0.0,0.12525022743453226
016406ebed,2024,1,1.0,0.9487660365226043
017114c7ec,2024,2,0.0,0.26750478516356657
018dd331fb,2023,1,0.0,0.13681337383629577
018dd331fb,2024,1,0.0,0.1891225234823656
01966bbd07,2023,1,0.0,0.10976657966851854
01984d6794,2023,3,0.3333333333333333,0.3939355625756051
019c1af1bb,2024,2,0.0,0.29983284423368084
019de5c82f,2024,1,1.0,0.9723534060210796
01a6c01531,2023,2,1.0,0.9092071209785881
01c95284ef,2024,3,0.0,0.11439779646105058
01d29c2149,2023,4,1.0,0.6410915173084583
01dcf32fd6,2024,1,0.0,0.07404061367715818
01e4b569d1,2023,8,0.375,0.48884798620120656
01f4fb2048,2022,1,0.0,0.04320016471774862
01f4fb2048,2023,36,0.0,0.1307387736126573
0204d530b2,2023,1,0.0,0.2785000959182068
020835cfde,2024,1,0.0,0.30132368572653495
0209a41e12,2023,3,0.3333333333333333,0.3048751415248973
0214bd8c49,2024,1,0.0,0.1577753321799393
024824cb2d,2023,3,0.6666666666666666,0.6017492334979467
024824cb2d,2024,2,0.0,0.28309394873933946
025b3c14b7,2025,1,1.0,0.5713819515034713
025e50a3cb,2024,1,0.0,0.3542469114539118
026c304d59,2024,1,1.0,0.8969558960247787
026ec30f6b,2025,4,0.0,0.18054827321635813
0282c624b3,2024,3,0.0,0.13570984757229967
02873aed36,2025,1,0.0,0.3695408009254109
0288b73c33,2024,4,0.5,0.49315835776659855
028a5b2f5d,2023,1,0.0,0.08928453079206293
028c3b3a1d,2024,3,0.3333333333333333,0.3312086657411967
0293545dc8,2024,1,1.0,0.9504458026638335
0299e33379,2024,1,0.0,0.47157537215774964
029c87d2b4,2024,39,0.48717948717948717,0.4974553948974641
029f9c2007,2023,1,0.0,0.41627427391599214
029f9c2007,2024,1,0.0,0.2756012809565446
02b1ec15f5,2024,1,0.0,0.33590490004369583
02b4d275da,2024,14,0.0,0.0504175934190494
02b7ff0d00,2024,4,0.75,0.5877855992397069
02b884c0dc,2025,1,0.0,0.2551469954750587
02cc2b55cc,2024,4,0.0,0.3133554050720243
02e523f523,2024,11,0.18181818181818182,0.24577701567568486
02ea154ffb,2024,8,0.75,0.6446436600205451
02fac5dfd9,2024,9,0.8888888888888888,0.652369537180707
02fac5dfd9,2025,1,1.0,0.6092849066187868
0309822b70,2023,1,0.0,0.27667245033067617
030b5fe341,2024,20,0.8,0.6541417722352553
031249b85a,2023,3,1.0,0.7109264015410899
031b4a7b8c,2022,2,0.0,0.15274571242477442
031b4a7b8c,2023,104,0.0,0.03607802343371766
031b4a7b8c,2024,82,0.0,0.025602508460196467
031b4a7b8c,2025,5,0.0,0.08442263640046152
034b3725ca,2024,1,0.0,0.1981700948219576
034e4b0350,2023,2,1.0,0.9727891827707638
0360156133,2023,1,1.0,0.9810517126064712
03681dee8d,2023,20,0.9,0.6876289246371756
0388e2a581,2024,1,0.0,0.0415675416259678
03a4aec265,2024,5,0.8,0.8037081726692247
03b098b445,2024,1,0.0,0.2806838301039688
03c2c94ff5,2023,13,0.07692307692307693,0.13148177565663574
03c2c94ff5,2024,2,0.0,0.15370837415525895
03c83c40b4,2024,2,0.5,0.5521597991514678
03d0ae3ef2,2022,1,0.0,0.15883080919074474
03d4122d44,2024,1,0.0,0.03689896552736101
03d5cb7875,2024,1,1.0,0.9536621565279519
03e22aa9d3,2022,1,1.0,0.5324109518245569
03fc245562,2024,1,0.0,0.24358670992913278
03fccc173e,2024,1,0.0,0.06204015724938089
03fe501029,2024,1,0.0,0.22924661117637668
03fe501029,2025,1,0.0,0.22033873160836429
0419407c40,2024,7,0.0,0.2401791545318845
042394dfd1,2022,1,1.0,0.8817585467669435
042394dfd1,2023,24,0.7916666666666666,0.6942658577941484
04273b80dd,2023,2,1.0,0.9078867275720608
042d720dec,2023,4,0.0,0.2812365464869135
042d720dec,2024,7,0.0,0.21776287420327953
